Product Category,Product Short Description,Product Long Description,Product ID,,,,,
iPad,iPad Pro 11in (M5) WiFi,IPAD PRO 11 WIFI 256GB SBLK,270,,,,,
iPad,iPad Pro 13in (M5) WiFi,IPAD PRO 13 WIFI 256GB SBLK,271,,,,,
iPad,iPad Pro 13in (M5) WiFi,IPAD PRO 13 WIFI 512GB SLVR,272,,,,,
iPad,iPad Pro 13in (M5) WiFi,IPAD PRO 13 WIFI 1TB SBLK,273,,,,,
iPad,iPad Pro 11in (M5) WiFi,IPAD PRO 11 WIFI 256GB SLVR,274,,,,,
iPhone,iPhone 15 256GB,IPHONE 15 PINK 256GB,275,,,,,
iPad,iPad Pro 13in (M5) WiFi,IPAD PRO 13 WIFI 512GB SBLK,276,,,,,
iPad,iPad Pro 13in (M5) WiFi,IPAD PRO 13 WIFI 2TB SBLK,277,,,,,
iPad,iPad Pro 11in (M5) WiFi,IPAD PRO 11 WIFI 512GB SBLK,278,,,,,
iPhone,iPhone 16 Pro Max 256GB,IPHONE 16 PRO MAX NATURAL 256GB,279,,,,,
iPhone,iPhone 15 256GB,IPHONE 15 BLUE 256GB,280,,,,,
iPad,iPad Pro 13in (M5) Cell,IPAD PRO 13 WF CL 1TB SBLK,281,,,,,
iPad,iPad Pro 13in (M5) WiFi,IPAD PRO 13 WIFI 256GB SLVR,282,,,,,
